#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
867,DEL CEP,000-BCQ-471,2456900.76250,4.824,0.014,False,Johnson B,CCD,SAH,,False
868,DEL CEP,000-BCQ-471,2456900.76562,4.180,0.004,False,Johnson V,CCD,SAH,,False
869,DEL CEP,000-BCQ-471,2456900.77292,3.583,0.010,False,Cousins R,CCD,SAH,,False
870,DEL CEP,000-BCQ-471,2456900.77605,3.297,0.020,False,Cousins I,CCD,SAH,,False
871,DEL CEP,000-BCQ-471,2456901.57920,4.084,0.026,False,Johnson B,CCD,SAH,,False
872,DEL CEP,000-BCQ-471,2456901.58425,3.581,0.019,False,Johnson V,CCD,SAH,,False
873,DEL CEP,000-BCQ-471,2456901.58863,3.077,0.012,False,Cousins R,CCD,SAH,,False
874,DEL CEP,000-BCQ-471,2456901.59523,2.879,0.021,False,Cousins I,CCD,SAH,,False
875,DEL CEP,000-BCQ-471,2456902.58624,4.131,0.019,False,Johnson B,CCD,SAH,,False
876,DEL CEP,000-BCQ-471,2456902.58999,3.598,0.009,False,Johnson V,CCD,SAH,,False
877,DEL CEP,000-BCQ-471,2456902.59374,3.087,0.010,False,Cousins R,CCD,SAH,,False
878,DEL CEP,000-BCQ-471,2456902.59872,2.874,0.017,False,Cousins I,CCD,SAH,,False
879,DEL CEP,000-BCQ-471,2456906.3158,4.086,0.031,False,Johnson V,CCD,VOL,,True
880,DEL CEP,000-BCQ-471,2456908.6158,3.691,0.026,False,Johnson V,CCD,VOL,,True
881,DEL CEP,000-BCQ-471,2456917.5583,3.657,0.024,False,Johnson V,CCD,VOL,,True
882,DEL CEP,000-BCQ-471,2456918.2961,3.422,0.021,False,Johnson V,CCD,VOL,,True
883,DEL CEP,000-BCQ-471,2456923.56659,3.903,0.016,False,Johnson B,CCD,SAH,,False
884,DEL CEP,000-BCQ-471,2456923.56973,3.424,0.007,False,Johnson V,CCD,SAH,,False
885,DEL CEP,000-BCQ-471,2456923.57460,2.963,0.007,False,Cousins R,CCD,SAH,,False
886,DEL CEP,000-BCQ-471,2456923.57773,2.781,0.009,False,Cousins I,CCD,SAH,,False
887,DEL CEP,000-BCQ-471,2456924.2659,3.575,0.017,False,Johnson V,CCD,VOL,,True
888,DEL CEP,000-BCQ-471,2456924.56736,4.316,0.010,False,Johnson B,CCD,SAH,,False
889,DEL CEP,000-BCQ-471,2456924.57051,3.708,0.007,False,Johnson V,CCD,SAH,,False
890,DEL CEP,000-BCQ-471,2456924.57466,3.156,0.006,False,Cousins R,CCD,SAH,,False
891,DEL CEP,000-BCQ-471,2456924.57778,2.913,0.007,False,Cousins I,CCD,SAH,,False
892,DEL CEP,000-BCQ-471,2456927.58280,4.886,0.019,False,Johnson B,CCD,SAH,,False
893,DEL CEP,000-BCQ-471,2456927.58644,4.174,0.015,False,Johnson V,CCD,SAH,,False
894,DEL CEP,000-BCQ-471,2456927.58995,3.583,0.011,False,Cousins R,CCD,SAH,,False
895,DEL CEP,000-BCQ-471,2456927.59307,3.293,0.007,False,Cousins I,CCD,SAH,,False
896,DEL CEP,000-BCQ-471,2456928.3036,3.674,0.013,False,Johnson V,CCD,VOL,,True
897,DEL CEP,000-BCQ-471,2456929.56120,4.165,0.008,False,Johnson B,CCD,SAH,,False
898,DEL CEP,000-BCQ-471,2456929.56505,3.613,0.012,False,Johnson V,CCD,SAH,,False
899,DEL CEP,000-BCQ-471,2456929.57006,3.103,0.008,False,Cousins R,CCD,SAH,,False
900,DEL CEP,000-BCQ-471,2456929.57338,2.876,0.012,False,Cousins I,CCD,SAH,,False
901,DEL CEP,000-BCQ-471,2456930.2875,3.793,0.025,False,Johnson V,CCD,VOL,,True
902,DEL CEP,000-BCQ-471,2456934.2657,3.390,0.026,False,Johnson V,CCD,VOL,,True
903,DEL CEP,000-BCQ-471,2456936.3052,3.877,0.027,False,Johnson V,CCD,VOL,,True
904,DEL CEP,000-BCQ-471,2456937.2848,4.093,0.033,False,Johnson V,CCD,VOL,,True
905,DEL CEP,000-BCQ-471,2456937.54094,4.848,0.016,False,Johnson B,CCD,SAH,,False
906,DEL CEP,000-BCQ-471,2456937.54411,4.122,0.007,False,Johnson V,CCD,SAH,,False
907,DEL CEP,000-BCQ-471,2456937.54751,3.524,0.010,False,Cousins R,CCD,SAH,,False
908,DEL CEP,000-BCQ-471,2456937.55254,3.195,0.009,False,Cousins I,CCD,SAH,,False
909,DEL CEP,000-BCQ-471,2456940.3224,3.544,0.045,False,Johnson V,CCD,VOL,,True
910,DEL CEP,000-BCQ-471,2456941.2603,3.835,0.016,False,Johnson V,CCD,VOL,,True
911,DEL CEP,000-BCQ-471,2456944.2879,3.767,0.048,False,Johnson V,CCD,VOL,,True
912,DEL CEP,000-BCQ-471,2456948.2946,4.119,0.033,False,Johnson V,CCD,VOL,,True
913,DEL CEP,000-BCQ-471,2456950.2629,3.370,0.024,False,Johnson V,CCD,VOL,,True
914,DEL CEP,000-BCQ-471,2456952.54294,4.609,0.011,False,Johnson B,CCD,SAH,,False
915,DEL CEP,000-BCQ-471,2456952.54606,3.930,0.009,False,Johnson V,CCD,SAH,,False
916,DEL CEP,000-BCQ-471,2456952.54969,3.351,0.006,False,Cousins R,CCD,SAH,,False
917,DEL CEP,000-BCQ-471,2456952.55281,3.077,0.007,False,Cousins I,CCD,SAH,,False
918,DEL CEP,000-BCQ-471,2456953.55087,4.817,0.019,False,Johnson B,CCD,SAH,,False
919,DEL CEP,000-BCQ-471,2456953.55547,4.115,0.014,False,Johnson V,CCD,SAH,,False
920,DEL CEP,000-BCQ-471,2456953.55860,3.522,0.009,False,Cousins R,CCD,SAH,,False
921,DEL CEP,000-BCQ-471,2456953.56676,3.226,0.007,False,Cousins I,CCD,SAH,,False
922,DEL CEP,000-BCQ-471,2456956.53439,4.197,0.010,False,Johnson B,CCD,SAH,,False
923,DEL CEP,000-BCQ-471,2456956.53841,3.642,0.009,False,Johnson V,CCD,SAH,,False
924,DEL CEP,000-BCQ-471,2456956.54237,3.124,0.008,False,Cousins R,CCD,SAH,,False
925,DEL CEP,000-BCQ-471,2456956.54561,2.891,0.007,False,Cousins I,CCD,SAH,,False
926,DEL CEP,000-BCQ-471,2456958.3336,4.000,0.038,False,Johnson V,CCD,VOL,,True
927,DEL CEP,000-BCQ-471,2456964.2206,4.056,0.032,False,Johnson V,CCD,VOL,,True
928,DEL CEP,000-BCQ-471,2456966.52709,3.908,0.021,False,Johnson B,CCD,SAH,,False
929,DEL CEP,000-BCQ-471,2456966.53701,3.448,0.014,False,Johnson V,CCD,SAH,,False
930,DEL CEP,000-BCQ-471,2456966.54227,2.976,0.007,False,Cousins R,CCD,SAH,,False
931,DEL CEP,000-BCQ-471,2456966.54624,2.794,0.018,False,Cousins I,CCD,SAH,,False
932,DEL CEP,000-BCQ-471,2456998.58698,3.871,0.021,False,Johnson B,CCD,SAH,,False
933,DEL CEP,000-BCQ-471,2456998.59013,3.421,0.011,False,Johnson V,CCD,SAH,,False
934,DEL CEP,000-BCQ-471,2456998.59448,2.978,0.016,False,Cousins R,CCD,SAH,,False
935,DEL CEP,000-BCQ-471,2456998.60027,2.776,0.028,False,Cousins I,CCD,SAH,,False
936,DEL CEP,000-BCQ-471,2457001.2377,3.988,0.031,False,Johnson V,CCD,VOL,,True
937,DEL CEP,000-BCQ-471,2457003.47603,4.203,0.011,False,Johnson B,CCD,SAH,,False
938,DEL CEP,000-BCQ-471,2457003.47916,3.683,0.006,False,Johnson V,CCD,SAH,,False
939,DEL CEP,000-BCQ-471,2457003.48587,3.150,0.007,False,Cousins R,CCD,SAH,,False
940,DEL CEP,000-BCQ-471,2457003.49014,2.938,0.013,False,Cousins I,CCD,SAH,,False
941,DEL CEP,000-BCQ-471,2457018.2550,4.126,0.023,False,Johnson V,CCD,VOL,,True
942,DEL CEP,000-BCQ-471,2457020.47161,4.037,0.019,False,Johnson B,CCD,SAH,,False
943,DEL CEP,000-BCQ-471,2457020.47497,3.519,0.011,False,Johnson V,CCD,SAH,,False
944,DEL CEP,000-BCQ-471,2457020.47967,3.047,0.014,False,Cousins R,CCD,SAH,,False
945,DEL CEP,000-BCQ-471,2457020.48279,2.849,0.016,False,Cousins I,CCD,SAH,,False
946,DEL CEP,000-BCQ-471,2457022.2630,3.893,0.025,False,Johnson V,CCD,VOL,,True
947,DEL CEP,000-BCQ-471,2457081.94119,4.728,0.022,False,Johnson B,CCD,SAH,,False
948,DEL CEP,000-BCQ-471,2457081.94460,4.020,0.021,False,Johnson V,CCD,SAH,,False
949,DEL CEP,000-BCQ-471,2457081.94791,3.449,0.017,False,Cousins R,CCD,SAH,,False
950,DEL CEP,000-BCQ-471,2457081.95245,3.148,0.017,False,Cousins I,CCD,SAH,,False
951,DEL CEP,000-BCQ-471,2457087.93189,4.846,0.044,False,Johnson B,CCD,SAH,,False
952,DEL CEP,000-BCQ-471,2457087.93560,4.134,0.030,False,Johnson V,CCD,SAH,,False
953,DEL CEP,000-BCQ-471,2457087.93901,3.531,0.024,False,Cousins R,CCD,SAH,,False
954,DEL CEP,000-BCQ-471,2457087.94271,3.257,0.016,False,Cousins I,CCD,SAH,,False
955,DEL CEP,000-BCQ-471,2457090.93811,3.184,0.013,False,Cousins R,CCD,SAH,,False
956,DEL CEP,000-BCQ-471,2457090.94188,2.945,0.012,False,Cousins I,CCD,SAH,,False
957,DEL CEP,000-BCQ-471,2457090.94674,3.716,0.017,False,Johnson V,CCD,SAH,,False
958,DEL CEP,000-BCQ-471,2457090.94997,4.309,0.017,False,Johnson B,CCD,SAH,,False
959,DEL CEP,000-BCQ-471,2457093.95074,3.594,0.024,False,Cousins R,CCD,SAH,,False
960,DEL CEP,000-BCQ-471,2457093.95389,3.326,0.029,False,Cousins I,CCD,SAH,,False
961,DEL CEP,000-BCQ-471,2457093.95712,4.857,0.022,False,Johnson B,CCD,SAH,,False
962,DEL CEP,000-BCQ-471,2457093.96026,4.236,0.029,False,Johnson V,CCD,SAH,,False
963,DEL CEP,000-BCQ-471,2457096.93285,3.299,0.011,False,Cousins R,CCD,SAH,,False
964,DEL CEP,000-BCQ-471,2457096.93681,3.023,0.009,False,Cousins I,CCD,SAH,,False
965,DEL CEP,000-BCQ-471,2457096.94038,4.476,0.013,False,Johnson B,CCD,SAH,,False
966,DEL CEP,000-BCQ-471,2457096.94352,3.823,0.020,False,Johnson V,CCD,SAH,,False
967,DEL CEP,000-BCQ-471,2457116.90148,3.003,0.006,False,Cousins R,CCD,SAH,,False
968,DEL CEP,000-BCQ-471,2457116.90489,2.797,0.013,False,Cousins I,CCD,SAH,,False
969,DEL CEP,000-BCQ-471,2457116.90885,3.472,0.027,False,Johnson V,CCD,SAH,,False
970,DEL CEP,000-BCQ-471,2457116.91407,3.943,0.026,False,Johnson B,CCD,SAH,,False
971,DEL CEP,000-BCQ-471,2457138.84206,3.100,0.010,False,Cousins R,CCD,SAH,,False
972,DEL CEP,000-BCQ-471,2457138.84695,2.866,0.021,False,Cousins I,CCD,SAH,,False
973,DEL CEP,000-BCQ-471,2457138.85307,4.148,0.014,False,Johnson B,CCD,SAH,,False
974,DEL CEP,000-BCQ-471,2457138.85821,3.595,0.021,False,Johnson V,CCD,SAH,,False
975,DEL CEP,000-BCQ-471,2457139.85728,3.282,0.015,False,Cousins R,CCD,SAH,,False
976,DEL CEP,000-BCQ-471,2457139.86060,3.024,0.011,False,Cousins I,CCD,SAH,,False
977,DEL CEP,000-BCQ-471,2457139.86401,4.482,0.021,False,Johnson B,CCD,SAH,,False
978,DEL CEP,000-BCQ-471,2457139.86819,3.866,0.012,False,Johnson V,CCD,SAH,,False
979,DEL CEP,000-BCQ-471,2457140.84333,3.426,0.013,False,Cousins R,CCD,SAH,,False
980,DEL CEP,000-BCQ-471,2457140.84868,3.139,0.014,False,Cousins I,CCD,SAH,,False
981,DEL CEP,000-BCQ-471,2457140.85325,4.687,0.022,False,Johnson B,CCD,SAH,,False
982,DEL CEP,000-BCQ-471,2457160.86120,3.199,0.019,False,Cousins R,CCD,SAH,,False
983,DEL CEP,000-BCQ-471,2457160.86489,2.966,0.014,False,Cousins I,CCD,SAH,,False
984,DEL CEP,000-BCQ-471,2457160.86927,4.308,0.020,False,Johnson B,CCD,SAH,,False
985,DEL CEP,000-BCQ-471,2457160.87240,3.777,0.018,False,Johnson V,CCD,SAH,,False
986,DEL CEP,000-BCQ-471,2457184.79665,4.169,0.030,False,Johnson V,CCD,SAH,,False
987,DEL CEP,000-BCQ-471,2457184.80022,3.573,0.012,False,Cousins R,CCD,SAH,,False
988,DEL CEP,000-BCQ-471,2457184.80360,3.259,0.012,False,Cousins I,CCD,SAH,,False
989,DEL CEP,000-BCQ-471,2457184.80815,4.824,0.015,False,Johnson B,CCD,SAH,,False
990,DEL CEP,000-BCQ-471,2457193.70353,3.318,0.018,False,Cousins R,CCD,SAH,,False
991,DEL CEP,000-BCQ-471,2457193.70786,3.046,0.011,False,Cousins I,CCD,SAH,,False
992,DEL CEP,000-BCQ-471,2457193.71204,4.516,0.019,False,Johnson B,CCD,SAH,,False
993,DEL CEP,000-BCQ-471,2457193.71604,3.871,0.009,False,Johnson V,CCD,SAH,,False
994,DEL CEP,000-BCQ-471,2457195.70993,3.574,0.022,False,Cousins R,CCD,SAH,,False
995,DEL CEP,000-BCQ-471,2457195.71354,3.286,0.011,False,Cousins I,CCD,SAH,,False
996,DEL CEP,000-BCQ-471,2457195.71671,4.833,0.013,False,Johnson B,CCD,SAH,,False
997,DEL CEP,000-BCQ-471,2457195.71986,4.173,0.036,False,Johnson V,CCD,SAH,,False
998,DEL CEP,000-BCQ-471,2457201.78297,3.927,0.023,False,Johnson V,CCD,SAH,,False
999,DEL CEP,000-BCQ-471,2457201.78612,3.358,0.012,False,Cousins R,CCD,SAH,,False
1000,DEL CEP,000-BCQ-471,2457201.78926,3.108,0.012,False,Cousins I,CCD,SAH,,False
1001,DEL CEP,000-BCQ-471,2457201.79250,4.417,0.024,False,Johnson B,CCD,SAH,,False
1002,DEL CEP,000-BCQ-471,2457205.74219,3.546,0.015,False,Cousins R,CCD,SAH,,False
1003,DEL CEP,000-BCQ-471,2457205.74637,3.225,0.032,False,Cousins I,CCD,SAH,,False
1004,DEL CEP,000-BCQ-471,2457205.74954,4.808,0.018,False,Johnson B,CCD,SAH,,False
1005,DEL CEP,000-BCQ-471,2457205.75470,4.100,0.021,False,Johnson V,CCD,SAH,,False
1006,DEL CEP,000-BCQ-471,2457211.76068,3.612,0.031,False,Cousins R,CCD,SAH,,False
1007,DEL CEP,000-BCQ-471,2457211.76404,3.278,0.041,False,Cousins I,CCD,SAH,,False
1008,DEL CEP,000-BCQ-471,2457211.76837,4.878,0.033,False,Johnson B,CCD,SAH,,False
1009,DEL CEP,000-BCQ-471,2457211.77149,4.143,0.019,False,Johnson V,CCD,SAH,,False
1010,DEL CEP,000-BCQ-471,2457214.63603,3.240,0.018,False,Cousins R,CCD,SAH,,False
1011,DEL CEP,000-BCQ-471,2457214.63977,2.991,0.020,False,Cousins I,CCD,SAH,,False
1012,DEL CEP,000-BCQ-471,2457214.64388,4.381,0.027,False,Johnson B,CCD,SAH,,False
1013,DEL CEP,000-BCQ-471,2457214.64703,3.821,0.037,False,Johnson V,CCD,SAH,,False
1014,DEL CEP,000-BCQ-471,2457216.63442,3.529,0.011,False,Cousins R,CCD,SAH,,False
1015,DEL CEP,000-BCQ-471,2457216.63757,3.239,0.017,False,Cousins I,CCD,SAH,,False
1016,DEL CEP,000-BCQ-471,2457216.64341,4.820,0.025,False,Johnson B,CCD,SAH,,False
1017,DEL CEP,000-BCQ-471,2457216.64665,4.128,0.056,False,Johnson V,CCD,SAH,,False
1018,DEL CEP,000-BCQ-471,2457221.67217,3.508,0.013,False,Cousins R,CCD,SAH,,False
1019,DEL CEP,000-BCQ-471,2457221.67576,3.201,0.013,False,Cousins I,CCD,SAH,,False
1020,DEL CEP,000-BCQ-471,2457221.67896,4.767,0.021,False,Johnson B,CCD,SAH,,False
1021,DEL CEP,000-BCQ-471,2457221.68341,4.113,0.045,False,Johnson V,CCD,SAH,,False
1022,DEL CEP,000-BCQ-471,2457222.69375,4.222,0.010,False,Johnson V,CCD,SAH,,False
1023,DEL CEP,000-BCQ-471,2457222.69743,3.589,0.011,False,Cousins R,CCD,SAH,,False
1024,DEL CEP,000-BCQ-471,2457222.70059,3.278,0.010,False,Cousins I,CCD,SAH,,False
1025,DEL CEP,000-BCQ-471,2457222.70443,4.821,0.024,False,Johnson B,CCD,SAH,,False
1026,DEL CEP,000-BCQ-471,2457223.76864,3.459,0.009,False,Johnson V,CCD,SAH,,False
1027,DEL CEP,000-BCQ-471,2457223.77184,3.000,0.011,False,Cousins R,CCD,SAH,,False
1028,DEL CEP,000-BCQ-471,2457223.77521,2.818,0.008,False,Cousins I,CCD,SAH,,False
1029,DEL CEP,000-BCQ-471,2457223.77927,3.849,0.014,False,Johnson B,CCD,SAH,,False
1030,DEL CEP,000-BCQ-471,2457225.67092,3.865,0.017,False,Johnson V,CCD,SAH,,False
1031,DEL CEP,000-BCQ-471,2457225.69740,3.017,0.012,False,Cousins I,CCD,SAH,,False
1032,DEL CEP,000-BCQ-471,2457225.70875,4.438,0.014,False,Johnson B,CCD,SAH,,False
1033,DEL CEP,000-BCQ-471,2457225.71407,3.284,0.006,False,Cousins R,CCD,SAH,,False
1034,DEL CEP,000-BCQ-471,2457227.73978,4.197,0.013,False,Johnson V,CCD,SAH,,False
1035,DEL CEP,000-BCQ-471,2457227.74309,3.583,0.011,False,Cousins R,CCD,SAH,,False
1036,DEL CEP,000-BCQ-471,2457227.74721,3.276,0.010,False,Cousins I,CCD,SAH,,False
1037,DEL CEP,000-BCQ-471,2457227.75070,4.825,0.015,False,Johnson B,CCD,SAH,,False
1038,DEL CEP,000-BCQ-471,2457228.69333,3.875,0.027,False,Johnson V,CCD,SAH,,False
1039,DEL CEP,000-BCQ-471,2457228.69870,3.287,0.013,False,Cousins R,CCD,SAH,,False
1040,DEL CEP,000-BCQ-471,2457228.70532,3.056,0.015,False,Cousins I,CCD,SAH,,False
1041,DEL CEP,000-BCQ-471,2457228.71490,4.309,0.012,False,Johnson B,CCD,SAH,,False
1042,DEL CEP,000-BCQ-471,2457229.68157,3.536,0.018,False,Johnson V,CCD,SAH,,False
1043,DEL CEP,000-BCQ-471,2457229.68486,3.030,0.016,False,Cousins R,CCD,SAH,,False
1044,DEL CEP,000-BCQ-471,2457229.68901,2.822,0.015,False,Cousins I,CCD,SAH,,False
1045,DEL CEP,000-BCQ-471,2457229.69553,3.962,0.014,False,Johnson B,CCD,SAH,,False
1046,DEL CEP,000-BCQ-471,2457233.70154,4.117,0.023,False,Johnson V,CCD,SAH,,False
1047,DEL CEP,000-BCQ-471,2457233.71413,3.504,0.010,False,Cousins R,CCD,SAH,,False
1048,DEL CEP,000-BCQ-471,2457233.72076,3.229,0.012,False,Cousins I,CCD,SAH,,False
1049,DEL CEP,000-BCQ-471,2457233.72682,4.682,0.007,False,Johnson B,CCD,SAH,,False
1050,DEL CEP,000-BCQ-471,2457234.76542,3.441,0.008,False,Johnson V,CCD,SAH,,False
1051,DEL CEP,000-BCQ-471,2457234.77185,2.971,0.007,False,Cousins R,CCD,SAH,,False
1052,DEL CEP,000-BCQ-471,2457234.77690,2.807,0.012,False,Cousins I,CCD,SAH,,False
1053,DEL CEP,000-BCQ-471,2457234.78163,3.847,0.013,False,Johnson B,CCD,SAH,,False
1054,DEL CEP,000-BCQ-471,2457235.75442,3.700,0.009,False,Johnson V,CCD,SAH,,False
1055,DEL CEP,000-BCQ-471,2457235.75938,3.191,0.006,False,Cousins R,CCD,SAH,,False
1056,DEL CEP,000-BCQ-471,2457235.76406,2.953,0.007,False,Cousins I,CCD,SAH,,False
1057,DEL CEP,000-BCQ-471,2457235.76801,4.252,0.015,False,Johnson B,CCD,SAH,,False
1058,DEL CEP,000-BCQ-471,2457250.74110,3.481,0.023,False,Johnson V,CCD,SAH,,False
1059,DEL CEP,000-BCQ-471,2457250.74571,3.006,0.018,False,Cousins R,CCD,SAH,,False
1060,DEL CEP,000-BCQ-471,2457250.75316,2.824,0.009,False,Cousins I,CCD,SAH,,False
1061,DEL CEP,000-BCQ-471,2457250.75823,3.825,0.014,False,Johnson B,CCD,SAH,,False
1062,DEL CEP,000-BCQ-471,2457255.59932,3.757,0.009,False,Johnson V,CCD,SAH,,False
1063,DEL CEP,000-BCQ-471,2457255.60331,3.238,0.008,False,Cousins R,CCD,SAH,,False
1064,DEL CEP,000-BCQ-471,2457255.60645,3.005,0.014,False,Cousins I,CCD,SAH,,False
1065,DEL CEP,000-BCQ-471,2457255.61053,4.239,0.010,False,Johnson B,CCD,SAH,,False
1066,DEL CEP,000-BCQ-471,2457256.70299,3.563,0.004,False,Johnson V,CCD,SAH,,False
1067,DEL CEP,000-BCQ-471,2457256.70738,3.070,0.007,False,Cousins R,CCD,SAH,,False
1068,DEL CEP,000-BCQ-471,2457256.71280,2.874,0.006,False,Cousins I,CCD,SAH,,False
1069,DEL CEP,000-BCQ-471,2457256.71855,4.049,0.013,False,Johnson B,CCD,SAH,,False
1070,DEL CEP,000-BCQ-471,2457257.60154,3.829,0.014,False,Johnson V,CCD,SAH,,False
1071,DEL CEP,000-BCQ-471,2457257.60500,3.254,0.011,False,Cousins R,CCD,SAH,,False
1072,DEL CEP,000-BCQ-471,2457257.60813,2.980,0.016,False,Cousins I,CCD,SAH,,False
1073,DEL CEP,000-BCQ-471,2457258.60093,4.032,0.022,False,Johnson V,CCD,SAH,,False
1074,DEL CEP,000-BCQ-471,2457258.60438,3.399,0.007,False,Cousins R,CCD,SAH,,False
1075,DEL CEP,000-BCQ-471,2457258.60943,3.102,0.011,False,Cousins I,CCD,SAH,,False
1076,DEL CEP,000-BCQ-471,2457258.61375,4.613,0.011,False,Johnson B,CCD,SAH,,False
1077,DEL CEP,000-BCQ-471,2457276.59388,4.110,0.010,False,Johnson V,CCD,SAH,,False
1078,DEL CEP,000-BCQ-471,2457276.59748,3.534,0.008,False,Cousins R,CCD,SAH,,False
1079,DEL CEP,000-BCQ-471,2457276.60065,3.259,0.010,False,Cousins I,CCD,SAH,,False
1080,DEL CEP,000-BCQ-471,2457276.60542,4.720,0.011,False,Johnson B,CCD,SAH,,False
1081,DEL CEP,000-BCQ-471,2457278.57525,3.682,0.016,False,Johnson V,CCD,SAH,,False
1082,DEL CEP,000-BCQ-471,2457278.57867,3.169,0.011,False,Cousins R,CCD,SAH,,False
1083,DEL CEP,000-BCQ-471,2457278.58452,2.926,0.007,False,Cousins I,CCD,SAH,,False
1084,DEL CEP,000-BCQ-471,2457278.59035,4.223,0.014,False,Johnson B,CCD,SAH,,False
1085,DEL CEP,000-BCQ-471,2457279.59069,3.916,0.009,False,Johnson V,CCD,SAH,,False
1086,DEL CEP,000-BCQ-471,2457279.59509,3.340,0.009,False,Cousins R,CCD,SAH,,False
1087,DEL CEP,000-BCQ-471,2457279.59998,3.071,0.007,False,Cousins I,CCD,SAH,,False
1088,DEL CEP,000-BCQ-471,2457279.60531,4.539,0.009,False,Johnson B,CCD,SAH,,False
1089,DEL CEP,000-BCQ-471,2457280.57296,4.164,0.014,False,Johnson V,CCD,SAH,,False
1090,DEL CEP,000-BCQ-471,2457280.57629,3.498,0.013,False,Cousins R,CCD,SAH,,False
1091,DEL CEP,000-BCQ-471,2457280.58310,3.189,0.015,False,Cousins I,CCD,SAH,,False
1092,DEL CEP,000-BCQ-471,2457280.59115,4.738,0.013,False,Johnson B,CCD,SAH,,False
1093,DEL CEP,000-BCQ-471,2457285.63358,4.011,0.004,False,Johnson V,CCD,SAH,,False
1094,DEL CEP,000-BCQ-471,2457285.64047,3.424,0.018,False,Cousins R,CCD,SAH,,False
1095,DEL CEP,000-BCQ-471,2457285.64577,3.153,0.011,False,Cousins I,CCD,SAH,,False
1096,DEL CEP,000-BCQ-471,2457296.55577,4.056,0.012,False,Johnson V,CCD,SAH,,False
1097,DEL CEP,000-BCQ-471,2457296.56207,3.481,0.008,False,Cousins R,CCD,SAH,,False
1098,DEL CEP,000-BCQ-471,2457296.56576,3.189,0.006,False,Cousins I,CCD,SAH,,False
1099,DEL CEP,000-BCQ-471,2457296.57620,4.721,0.009,False,Johnson B,CCD,SAH,,False
1100,DEL CEP,000-BCQ-471,2457297.55595,4.190,0.010,False,Johnson V,CCD,SAH,,False
1101,DEL CEP,000-BCQ-471,2457297.55906,3.602,0.009,False,Cousins R,CCD,SAH,,False
1102,DEL CEP,000-BCQ-471,2457297.56339,3.306,0.010,False,Cousins I,CCD,SAH,,False
1103,DEL CEP,000-BCQ-471,2457297.56820,4.866,0.011,False,Johnson B,CCD,SAH,,False
1104,DEL CEP,000-BCQ-471,2457305.54013,3.710,0.005,False,Johnson V,CCD,SAH,,False
1105,DEL CEP,000-BCQ-471,2457305.54493,3.189,0.006,False,Cousins R,CCD,SAH,,False
1106,DEL CEP,000-BCQ-471,2457305.54886,2.962,0.007,False,Cousins I,CCD,SAH,,False
1107,DEL CEP,000-BCQ-471,2457305.55879,4.274,0.011,False,Johnson B,CCD,SAH,,False
1108,DEL CEP,000-BCQ-471,2457307.55648,4.117,0.008,False,Johnson V,CCD,SAH,,False
1109,DEL CEP,000-BCQ-471,2457307.55966,3.532,0.011,False,Cousins R,CCD,SAH,,False
1110,DEL CEP,000-BCQ-471,2457307.56814,3.240,0.011,False,Cousins I,CCD,SAH,,False
1111,DEL CEP,000-BCQ-471,2457307.57679,4.781,0.010,False,Johnson B,CCD,SAH,,False
1112,DEL CEP,000-BCQ-471,2457312.53624,4.044,0.003,False,Johnson V,CCD,SAH,,False
1113,DEL CEP,000-BCQ-471,2457312.53959,3.474,0.010,False,Cousins R,CCD,SAH,,False
1114,DEL CEP,000-BCQ-471,2457312.54294,3.159,0.056,False,Cousins I,CCD,SAH,,False
1115,DEL CEP,000-BCQ-471,2457312.54772,4.705,0.013,False,Johnson B,CCD,SAH,,False
1116,DEL CEP,000-BCQ-471,2457313.53156,4.184,0.007,False,Johnson V,CCD,SAH,,False
1117,DEL CEP,000-BCQ-471,2457313.53593,3.599,0.005,False,Cousins R,CCD,SAH,,False
1118,DEL CEP,000-BCQ-471,2457313.53908,3.307,0.006,False,Cousins I,CCD,SAH,,False
1119,DEL CEP,000-BCQ-471,2457313.54473,4.851,0.008,False,Johnson B,CCD,SAH,,False
1120,DEL CEP,000-BCQ-471,2457314.54699,3.807,0.012,False,Johnson V,CCD,SAH,,False
1121,DEL CEP,000-BCQ-471,2457314.55328,3.291,0.007,False,Cousins R,CCD,SAH,,False
1122,DEL CEP,000-BCQ-471,2457314.55702,3.081,0.006,False,Cousins I,CCD,SAH,,False
1123,DEL CEP,000-BCQ-471,2457314.56041,4.336,0.012,False,Johnson B,CCD,SAH,,False
1124,DEL CEP,000-BCQ-471,2457321.52589,3.691,0.003,False,Johnson V,CCD,SAH,,False
1125,DEL CEP,000-BCQ-471,2457321.52902,3.186,0.008,False,Cousins R,CCD,SAH,,False
1126,DEL CEP,000-BCQ-471,2457321.53272,2.960,0.011,False,Cousins I,CCD,SAH,,False
1127,DEL CEP,000-BCQ-471,2457321.53744,4.244,0.007,False,Johnson B,CCD,SAH,,False
1128,DEL CEP,000-BCQ-471,2457328.53507,4.004,0.013,False,Johnson V,CCD,SAH,,False
1129,DEL CEP,000-BCQ-471,2457328.53980,3.449,0.010,False,Cousins R,CCD,SAH,,False
1130,DEL CEP,000-BCQ-471,2457328.54521,3.171,0.009,False,Cousins I,CCD,SAH,,False
1131,DEL CEP,000-BCQ-471,2457328.55374,4.693,0.011,False,Johnson B,CCD,SAH,,False
