#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
58,DELTA CEP,000-BCQ-471,2455130.272,3.93,0.05,False,Tri-Color Green,CCD,VOL,,False
59,DELTA CEP,000-BCQ-471,2455131.386,3.28,0.04,False,Tri-Color Green,CCD,VOL,,False
60,DEL CEP,000-BCQ-471,2455131.62517,2.979,0.026,False,Cousins I,CCD,HQA,1.000,True
61,DEL CEP,000-BCQ-471,2455131.62517,3.352,0.009,False,Cousins R,CCD,HQA,1.000,True
62,DEL CEP,000-BCQ-471,2455131.62517,4.179,0.016,False,Johnson B,CCD,HQA,1.000,True
63,DEL CEP,000-BCQ-471,2455131.62517,3.590,0.003,False,Johnson V,CCD,HQA,1.000,True
64,DEL CEP,000-BCQ-471,2455131.65857,4.204,0.023,False,Johnson B,CCD,HQA,1.000,True
65,DEL CEP,000-BCQ-471,2455131.65857,3.407,0.017,False,Cousins R,CCD,HQA,1.000,True
66,DEL CEP,000-BCQ-471,2455131.65857,2.957,0.020,False,Cousins I,CCD,HQA,1.000,True
67,DEL CEP,000-BCQ-471,2455131.65857,3.640,0.011,False,Johnson V,CCD,HQA,1.000,True
68,DEL CEP,000-BCQ-471,2455131.68739,3.395,0.027,False,Cousins R,CCD,HQA,1.000,True
69,DEL CEP,000-BCQ-471,2455131.68739,4.248,0.015,False,Johnson B,CCD,HQA,1.000,True
70,DEL CEP,000-BCQ-471,2455131.68739,3.659,0.009,False,Johnson V,CCD,HQA,1.000,True
71,DEL CEP,000-BCQ-471,2455131.68739,2.986,0.032,False,Cousins I,CCD,HQA,1.000,True
72,DEL CEP,000-BCQ-471,2455131.71958,3.670,0.017,False,Johnson V,CCD,HQA,1.000,True
73,DEL CEP,000-BCQ-471,2455131.71958,3.406,0.038,False,Cousins R,CCD,HQA,1.000,True
74,DEL CEP,000-BCQ-471,2455131.71958,4.251,0.021,False,Johnson B,CCD,HQA,1.000,True
75,DEL CEP,000-BCQ-471,2455131.71958,2.986,0.047,False,Cousins I,CCD,HQA,1.000,True
76,DEL CEP,000-BCQ-471,2455131.77864,2.998,0.028,False,Cousins I,CCD,HQA,1.000,True
77,DEL CEP,000-BCQ-471,2455131.77864,3.673,0.013,False,Johnson V,CCD,HQA,1.000,True
78,DEL CEP,000-BCQ-471,2455131.77864,4.263,0.024,False,Johnson B,CCD,HQA,1.000,True
79,DEL CEP,000-BCQ-471,2455131.77864,3.384,0.027,False,Cousins R,CCD,HQA,1.000,True
80,DEL CEP,000-BCQ-471,2455131.85971,3.744,0.040,False,Johnson V,CCD,HQA,1.000,True
81,DEL CEP,000-BCQ-471,2455131.85971,3.467,0.075,False,Cousins R,CCD,HQA,1.000,True
